title,key,x,y
Natural-and-applied-sciences-and-related-occupations,Males,12/31/2011,32.31
Natural-and-applied-sciences-and-related-occupations,Males,12/31/2012,33.47
Natural-and-applied-sciences-and-related-occupations,Females,12/31/1998,18.57
Natural-and-applied-sciences-and-related-occupations,Females,12/31/1999,19.1
Natural-and-applied-sciences-and-related-occupations,Females,12/31/2000,20.09
Natural-and-applied-sciences-and-related-occupations,Females,12/31/2001,20.8
Natural-and-applied-sciences-and-related-occupations,Females,12/31/2002,22.48
Natural-and-applied-sciences-and-related-occupations,Females,12/31/2003,22.69
Natural-and-applied-sciences-and-related-occupations,Females,12/31/2004,23.5
Natural-and-applied-sciences-and-related-occupations,Females,12/31/2005,24.15
Natural-and-applied-sciences-and-related-occupations,Females,12/31/2006,24.51
Natural-and-applied-sciences-and-related-occupations,Females,12/31/2007,25.19
Natural-and-applied-sciences-and-related-occupations,Females,12/31/2008,26.3
Natural-and-applied-sciences-and-related-occupations,Females,12/31/2009,27.31
Natural-and-applied-sciences-and-related-occupations,Females,12/31/2010,28.33
Natural-and-applied-sciences-and-related-occupations,Females,12/31/2011,28.48
Natural-and-applied-sciences-and-related-occupations,Females,12/31/2012,29.69
Health-occupations,Males,12/31/1998,18.94
Health-occupations,Males,12/31/1999,19.27
Health-occupations,Males,12/31/2000,19.78
Health-occupations,Males,12/31/2001,19.93
Health-occupations,Males,12/31/2002,20.12
Health-occupations,Males,12/31/2003,20.82
Health-occupations,Males,12/31/2004,22.96
Health-occupations,Males,12/31/2005,23.59
Health-occupations,Males,12/31/2006,23.67
Health-occupations,Males,12/31/2007,23.89
Health-occupations,Males,12/31/2008,24.39
Health-occupations,Males,12/31/2009,26.79
Health-occupations,Males,12/31/2010,26.96
Health-occupations,Males,12/31/2011,27.79
Health-occupations,Males,12/31/2012,27.41
Health-occupations,Females,12/31/1998,18.21
Health-occupations,Females,12/31/1999,18.24
Health-occupations,Females,12/31/2000,18.52
Health-occupations,Females,12/31/2001,19.09
Health-occupations,Females,12/31/2002,19.94
Health-occupations,Females,12/31/2003,20.85
Health-occupations,Females,12/31/2004,21.45
Health-occupations,Females,12/31/2005,21.79
Health-occupations,Females,12/31/2006,22.64
Health-occupations,Females,12/31/2007,23.56
Health-occupations,Females,12/31/2008,24.36
Health-occupations,Females,12/31/2009,25.2
Health-occupations,Females,12/31/2010,25.95
Health-occupations,Females,12/31/2011,26.45
Health-occupations,Females,12/31/2012,26.79
Occupations-in-social-science-education-government-service-and-religion,Males,12/31/1998,23.4
Occupations-in-social-science-education-government-service-and-religion,Males,12/31/1999,23.72
Occupations-in-social-science-education-government-service-and-religion,Males,12/31/2000,24.26
Occupations-in-social-science-education-government-service-and-religion,Males,12/31/2001,24.8
Occupations-in-social-science-education-government-service-and-religion,Males,12/31/2002,25.29
Occupations-in-social-science-education-government-service-and-religion,Males,12/31/2003,26.24
Occupations-in-social-science-education-government-service-and-religion,Males,12/31/2004,26.85
Occupations-in-social-science-education-government-service-and-religion,Males,12/31/2005,27.4
Occupations-in-social-science-education-government-service-and-religion,Males,12/31/2006,28.17
Occupations-in-social-science-education-government-service-and-religion,Males,12/31/2007,28.93
Occupations-in-social-science-education-government-service-and-religion,Males,12/31/2008,30.08
Occupations-in-social-science-education-government-service-and-religion,Males,12/31/2009,31.02
Occupations-in-social-science-education-government-service-and-religion,Males,12/31/2010,31.58
Occupations-in-social-science-education-government-service-and-religion,Males,12/31/2011,32.15
Occupations-in-social-science-education-government-service-and-religion,Males,12/31/2012,33.18
Occupations-in-social-science-education-government-service-and-religion,Females,12/31/1998,19.56
Occupations-in-social-science-education-government-service-and-religion,Females,12/31/1999,19.85
Occupations-in-social-science-education-government-service-and-religion,Females,12/31/2000,20.42
Occupations-in-social-science-education-government-service-and-religion,Females,12/31/2001,20.7
Occupations-in-social-science-education-government-service-and-religion,Females,12/31/2002,21.32
Occupations-in-social-science-education-government-service-and-religion,Females,12/31/2003,21.83
Occupations-in-social-science-education-government-service-and-religion,Females,12/31/2004,22.47
Occupations-in-social-science-education-government-service-and-religion,Females,12/31/2005,23.16
Occupations-in-social-science-education-government-service-and-religion,Females,12/31/2006,24.22
Occupations-in-social-science-education-government-service-and-religion,Females,12/31/2007,24.42
Occupations-in-social-science-education-government-service-and-religion,Females,12/31/2008,25.42
Occupations-in-social-science-education-government-service-and-religion,Females,12/31/2009,26.4
Occupations-in-social-science-education-government-service-and-religion,Females,12/31/2010,27.16
Occupations-in-social-science-education-government-service-and-religion,Females,12/31/2011,27.91
Occupations-in-social-science-education-government-service-and-religion,Females,12/31/2012,28.67
Occupations-in-art-culture-recreation-and-sport,Males,12/31/1998,17.4
Occupations-in-art-culture-recreation-and-sport,Males,12/31/1999,17.09
Occupations-in-art-culture-recreation-and-sport,Males,12/31/2000,17.8
Occupations-in-art-culture-recreation-and-sport,Males,12/31/2001,18.32
Occupations-in-art-culture-recreation-and-sport,Males,12/31/2002,18.18
Occupations-in-art-culture-recreation-and-sport,Males,12/31/2003,18.66
Occupations-in-art-culture-recreation-and-sport,Males,12/31/2004,19.16
Occupations-in-art-culture-recreation-and-sport,Males,12/31/2005,20.7
Occupations-in-art-culture-recreation-and-sport,Males,12/31/2006,20.26
Occupations-in-art-culture-recreation-and-sport,Males,12/31/2007,21.47
Occupations-in-art-culture-recreation-and-sport,Males,12/31/2008,22.3
Occupations-in-art-culture-recreation-and-sport,Males,12/31/2009,21.1
Occupations-in-art-culture-recreation-and-sport,Males,12/31/2010,22.34
Occupations-in-art-culture-recreation-and-sport,Males,12/31/2011,24.15
Occupations-in-art-culture-recreation-and-sport,Males,12/31/2012,23.95
Occupations-in-art-culture-recreation-and-sport,Females,12/31/1998,14.9
Occupations-in-art-culture-recreation-and-sport,Females,12/31/1999,15.59
Occupations-in-art-culture-recreation-and-sport,Females,12/31/2000,15.23
Occupations-in-art-culture-recreation-and-sport,Females,12/31/2001,16.1
Occupations-in-art-culture-recreation-and-sport,Females,12/31/2002,16.2
Occupations-in-art-culture-recreation-and-sport,Females,12/31/2003,16.79
Occupations-in-art-culture-recreation-and-sport,Females,12/31/2004,17.34
Occupations-in-art-culture-recreation-and-sport,Females,12/31/2005,17.85
Occupations-in-art-culture-recreation-and-sport,Females,12/31/2006,18.82
Occupations-in-art-culture-recreation-and-sport,Females,12/31/2007,19.38
Occupations-in-art-culture-recreation-and-sport,Females,12/31/2008,20.03
Occupations-in-art-culture-recreation-and-sport,Females,12/31/2009,20.87
Occupations-in-art-culture-recreation-and-sport,Females,12/31/2010,21.73
Occupations-in-art-culture-recreation-and-sport,Females,12/31/2011,22.18
Occupations-in-art-culture-recreation-and-sport,Females,12/31/2012,22.8
Sales-and-service-occupations,Males,12/31/1998,12.57
Sales-and-service-occupations,Males,12/31/1999,12.77
Sales-and-service-occupations,Males,12/31/2000,12.98
Sales-and-service-occupations,Males,12/31/2001,13.49
Sales-and-service-occupations,Males,12/31/2002,13.83
Sales-and-service-occupations,Males,12/31/2003,14.09
Sales-and-service-occupations,Males,12/31/2004,14.08
Sales-and-service-occupations,Males,12/31/2005,14.54
Sales-and-service-occupations,Males,12/31/2006,14.81
Sales-and-service-occupations,Males,12/31/2007,15.08
Sales-and-service-occupations,Males,12/31/2008,15.84
Sales-and-service-occupations,Males,12/31/2009,16.5
Sales-and-service-occupations,Males,12/31/2010,17.22
Sales-and-service-occupations,Males,12/31/2011,17.43
Sales-and-service-occupations,Males,12/31/2012,17.61
Sales-and-service-occupations,Females,12/31/1998,9.62
Sales-and-service-occupations,Females,12/31/1999,9.76
Sales-and-service-occupations,Females,12/31/2000,9.83
Sales-and-service-occupations,Females,12/31/2001,10.12
Sales-and-service-occupations,Females,12/31/2002,10.39
Sales-and-service-occupations,Females,12/31/2003,10.63
Sales-and-service-occupations,Females,12/31/2004,10.92
Sales-and-service-occupations,Females,12/31/2005,11.04
Sales-and-service-occupations,Females,12/31/2006,11.45
Sales-and-service-occupations,Females,12/31/2007,11.9
Sales-and-service-occupations,Females,12/31/2008,12.42
Sales-and-service-occupations,Females,12/31/2009,12.98
Sales-and-service-occupations,Females,12/31/2010,13.32
Sales-and-service-occupations,Females,12/31/2011,13.89
Sales-and-service-occupations,Females,12/31/2012,14.05
Trades-transport-and-equipment-operators-and-related-occupations,Males,12/31/1998,16.28
Trades-transport-and-equipment-operators-and-related-occupations,Males,12/31/1999,16.54
Trades-transport-and-equipment-operators-and-related-occupations,Males,12/31/2000,16.89
Trades-transport-and-equipment-operators-and-related-occupations,Males,12/31/2001,17.48
Trades-transport-and-equipment-operators-and-related-occupations,Males,12/31/2002,17.98
Trades-transport-and-equipment-operators-and-related-occupations,Males,12/31/2003,18.29
Trades-transport-and-equipment-operators-and-related-occupations,Males,12/31/2004,18.62
Trades-transport-and-equipment-operators-and-related-occupations,Males,12/31/2005,19.08
Trades-transport-and-equipment-operators-and-related-occupations,Males,12/31/2006,19.43
Trades-transport-and-equipment-operators-and-related-occupations,Males,12/31/2007,20.18
Trades-transport-and-equipment-operators-and-related-occupations,Males,12/31/2008,21.09
Trades-transport-and-equipment-operators-and-related-occupations,Males,12/31/2009,21.77
Trades-transport-and-equipment-operators-and-related-occupations,Males,12/31/2010,22.37
Trades-transport-and-equipment-operators-and-related-occupations,Males,12/31/2011,22.93
Trades-transport-and-equipment-operators-and-related-occupations,Males,12/31/2012,23.25
Trades-transport-and-equipment-operators-and-related-occupations,Females,12/31/1998,11.64
Trades-transport-and-equipment-operators-and-related-occupations,Females,12/31/1999,11.86
Trades-transport-and-equipment-operators-and-related-occupations,Females,12/31/2000,11.61
Trades-transport-and-equipment-operators-and-related-occupations,Females,12/31/2001,13.06
Trades-transport-and-equipment-operators-and-related-occupations,Females,12/31/2002,13.04
Trades-transport-and-equipment-operators-and-related-occupations,Females,12/31/2003,13.22
Trades-transport-and-equipment-operators-and-related-occupations,Females,12/31/2004,13.48
Trades-transport-and-equipment-operators-and-related-occupations,Females,12/31/2005,13.66
Trades-transport-and-equipment-operators-and-related-occupations,Females,12/31/2006,14.08
Trades-transport-and-equipment-operators-and-related-occupations,Females,12/31/2007,14.92
Trades-transport-and-equipment-operators-and-related-occupations,Females,12/31/2008,15.78
