key,x,y
management,1997,2139
management,1997,2139
management,2012,3636
management,2012,3636
Senior management,1997,2797
Senior management,1997,2797
Senior management,2012,4340
Senior management,2012,4340
Bussiness admin,1997,1528
Bussiness admin,1997,1528
Bussiness admin,2012,2202
Bussiness admin,2012,2202
Business finance,1997,2057
Business finance,1997,2057
Business finance,2012,3228
Business finance,2012,3228
Financial secretarial,1997,1583
Financial secretarial,1997,1583
Financial secretarial,2012,2232
Financial secretarial,2012,2232
clerical,1997,1370
clerical,1997,1370
clerical,2012,1927
clerical,2012,1927
Nurse supervisors registered nurses,1997,2134
Nurse supervisors registered nurses,1997,2134
Nurse supervisors registered nurses,2012,3377
Nurse supervisors registered nurses,2012,3377
Health assistants,1997,1572
Health assistants,1997,1572
Health assistants,2012,2222
Health assistants,2012,2222
Natural and applied sciences,1997,2108
Natural and applied sciences,1997,2108
Natural and applied sciences,2012,3274
Natural and applied sciences,2012,3274
Teachers and professors,1997,2346
Teachers and professors,1997,2346
Teachers and professors,2012,3347
Teachers and professors,2012,3347
art culture recreation sport,1997,1600
art culture recreation sport,1997,1600
art culture recreation sport,2012,2333
art culture recreation sport,2012,2333
Sales and service,1997,1093
Sales and service,1997,1093
Sales and service,2012,1563
Sales and service,2012,1563
insurance real estate wholesale grain buyers,1997,1686
insurance real estate wholesale grain buyers,1997,1686
insurance real estate wholesale grain buyers,2012,2355
insurance real estate wholesale grain buyers,2012,2355
protective services,1997,1702
protective services,1997,1702
protective services,2012,2475
protective services,2012,2475
Chefs and cooks including supervisors,1997,911
Chefs and cooks including supervisors,1997,911
Chefs and cooks including supervisors,2012,1378
Chefs and cooks including supervisors,2012,1378
Childcare home support,1997,1213
Childcare home support,1997,1213
Childcare home support,2012,1609
Childcare home support,2012,1609
Contractors,1997,1968
Contractors,1997,1968
Contractors,2012,2953
Contractors,2012,2953
Construction trades,1997,1637
Construction trades,1997,1637
Construction trades,2012,2382
Construction trades,2012,2382
Transport equipment,1997,1492
Transport equipment,1997,1492
Transport equipment,2012,2104
Transport equipment,2012,2104
Trades helpers,1997,1310
Trades helpers,1997,1310
Trades helpers,2012,1858
Trades helpers,2012,1858
primary industry,1997,1320
primary industry,1997,1320
primary industry,2012,2089
primary industry,2012,2089
processing manufacturing,1997,1411
processing manufacturing,1997,1411
processing manufacturing,2012,1958
processing manufacturing,2012,1958
Machine operators assemblers,1997,1463
Machine operators assemblers,1997,1463
Machine operators assemblers,2012,2054
Machine operators assemblers,2012,2054
Labourers,1997,1240
Labourers,1997,1240
Labourers,2012,1595
Labourers,2012,1595
