key,y,x,,tmp-all,,,
Ontario,2012,3510.1,,7357.2,,,47.70972653
Manitoba,1976,174.9,,455.6,,,38.38893766
Manitoba,1977,181.5,,464.4,,,39.08268734
Manitoba,1978,187.3,,475.4,,,39.39840135
Manitoba,1979,191.8,,481.1,,,39.86697152
Manitoba,1980,198.1,,488.9,,,40.51953365
Manitoba,1981,206.4,,498.4,,,41.41252006
Manitoba,1982,212.1,,503.2,,,42.15023847
Manitoba,1983,220.7,,517.1,,,42.68033262
Manitoba,1984,223.6,,523.9,,,42.67990074
Manitoba,1985,229.1,,530.8,,,43.16126601
Manitoba,1986,236.7,,542.1,,,43.66353071
Manitoba,1987,241,,545.9,,,44.14727972
Manitoba,1988,243,,548.7,,,44.28649535
Manitoba,1989,247.7,,554.1,,,44.70312218
Manitoba,1990,248.3,,554.6,,,44.77100613
Manitoba,1991,249.3,,554.5,,,44.9594229
Manitoba,1992,249.7,,551,,,45.31760436
Manitoba,1993,252.2,,555.6,,,45.39236861
Manitoba,1994,249.5,,556.3,,,44.84990113
Manitoba,1995,253.6,,556.9,,,45.53779853
Manitoba,1996,253,,558.1,,,45.33237771
Manitoba,1997,255.7,,561.3,,,45.5549617
Manitoba,1998,257.7,,566.1,,,45.52199258
Manitoba,1999,262.4,,573.9,,,45.72225126
Manitoba,2000,267,,580.9,,,45.96316061
Manitoba,2001,268,,583.5,,,45.92973436
Manitoba,2002,277.2,,598.2,,,46.33901705
Manitoba,2003,278.2,,601,,,46.28951747
Manitoba,2004,284.9,,611.2,,,46.6132199
Manitoba,2005,283.7,,610.5,,,46.47010647
Manitoba,2006,286.7,,615.2,,,46.60273082
Manitoba,2007,290.5,,626.4,,,46.3761175
Manitoba,2008,294.9,,635,,,46.44094488
Manitoba,2009,297.7,,641.8,,,46.38516672
Manitoba,2010,305.6,,654.9,,,46.66361277
Manitoba,2011,308,,660.2,,,46.65252954
Manitoba,2012,308.8,,665.4,,,46.40817553
Saskatchewan,1976,141.7,,397.7,,,35.62987176
Saskatchewan,1977,147.5,,413.5,,,35.67110036
Saskatchewan,1978,153.7,,423.8,,,36.26710713
Saskatchewan,1979,161.8,,434.3,,,37.25535344
Saskatchewan,1980,165.5,,442.1,,,37.43496946
Saskatchewan,1981,172.2,,451.3,,,38.15643696
Saskatchewan,1982,180.2,,458.7,,,39.28493569
Saskatchewan,1983,189.8,,473.2,,,40.10989011
Saskatchewan,1984,195.6,,482.1,,,40.57249533
Saskatchewan,1985,204.5,,493.7,,,41.42191614
Saskatchewan,1986,212,,501.6,,,42.26475279
Saskatchewan,1987,212,,498.5,,,42.52758275
Saskatchewan,1988,215.8,,499.5,,,43.2032032
Saskatchewan,1989,212.8,,492.6,,,43.19935039
Saskatchewan,1990,213.2,,488.6,,,43.63487515
Saskatchewan,1991,217.1,,489.3,,,44.36950746
Saskatchewan,1992,217.5,,486.8,,,44.67953985
Saskatchewan,1993,219.5,,489.1,,,44.87834799
Saskatchewan,1994,217.6,,488,,,44.59016393
Saskatchewan,1995,219.1,,491.1,,,44.61413154
Saskatchewan,1996,218.1,,486.7,,,44.81199918
Saskatchewan,1997,220.9,,493.7,,,44.74377152
Saskatchewan,1998,223.5,,497.6,,,44.91559486
Saskatchewan,1999,227,,499.8,,,45.41816727
Saskatchewan,2000,226.2,,498.3,,,45.39434076
Saskatchewan,2001,222,,488.6,,,45.43593942
Saskatchewan,2002,226.9,,498.2,,,45.54395825
Saskatchewan,2003,234.3,,506,,,46.30434783
Saskatchewan,2004,235.9,,509.3,,,46.31847634
Saskatchewan,2005,235.5,,509.6,,,46.21271586
Saskatchewan,2006,240.8,,516.6,,,46.61246612
Saskatchewan,2007,244.3,,526.5,,,46.40075973
Saskatchewan,2008,248.2,,534.5,,,46.43592142
Saskatchewan,2009,254.2,,545.5,,,46.59945005
Saskatchewan,2010,256.2,,553,,,46.32911392
Saskatchewan,2011,255.2,,553.5,,,46.1065944
Saskatchewan,2012,258.7,,563.8,,,45.88506563
Alberta,1976,337,,890,,,37.86516854
Alberta,1977,358.8,,946.2,,,37.92010146
Alberta,1978,385.6,,1007.1,,,38.28815411
Alberta,1979,416.8,,1076.2,,,38.72886081
Alberta,1980,452.6,,1146.8,,,39.46634112
Alberta,1981,490,,1230.9,,,39.80827037
Alberta,1982,508.4,,1261.5,,,40.3012287
Alberta,1983,523.4,,1274,,,41.08320251
Alberta,1984,540.4,,1283.5,,,42.10362291
Alberta,1985,553.5,,1301.1,,,42.54092691
Alberta,1986,565.4,,1315.1,,,42.99292829
Alberta,1987,572.1,,1313.8,,,43.54544071
